    51/799     1.89G   0.03666    0.1287         0    0.1653       142       320    0.5454    0.9624    0.9363    0.5887   0.03177    0.1106         0
    52/799     1.89G   0.03605    0.1296         0    0.1656       155       320    0.5956    0.9484    0.9221    0.5604   0.03299    0.1101         0
    53/799     1.89G   0.03721    0.1339         0    0.1711       115       320    0.5015     0.951    0.9151    0.5262   0.03577    0.1157         0
    54/799     1.89G    0.0361    0.1362         0    0.1723       152       320     0.581    0.9471    0.9268    0.5894   0.03255     0.108         0
    55/799     1.89G    0.0364    0.1324         0    0.1688       159       320    0.5748    0.9567    0.9319    0.5611   0.03197    0.1097         0
    56/799     1.89G   0.03572    0.1291         0    0.1648       145       320    0.6659    0.9535    0.9395    0.5949   0.03121    0.1042         0
    57/799     1.89G   0.03368    0.1239         0    0.1576       119       320    0.6977    0.9083    0.9079    0.5712   0.03254    0.1247         0
    58/799     1.89G   0.03424    0.1301         0    0.1643       332       320    0.6761    0.9108    0.9113    0.5783   0.03295     0.125         0
    59/799     1.89G   0.03452    0.1287         0    0.1633       169       320    0.6407    0.9338    0.9232    0.5513   0.03322    0.1083         0
    60/799     1.89G     0.036    0.1379         0    0.1739       344       320    0.4769    0.9516    0.9228    0.5638   0.03191    0.1163         0
    61/799     1.89G   0.03268    0.1243         0     0.157       118       320    0.6349    0.9446    0.9362     0.618   0.02752    0.1005         0
    62/799     1.89G   0.03328    0.1298         0    0.1631       164       320    0.6299    0.9363    0.9262    0.5905   0.03054      0.11         0
    63/799     1.89G   0.03274    0.1284         0    0.1612       113       320     0.697    0.9344    0.9289     0.587   0.03033    0.1057         0
    64/799     1.89G   0.03357    0.1266         0    0.1602       170       320    0.7531    0.9363     0.939    0.6112   0.02922    0.1058         0
    65/799     1.89G   0.03244    0.1262         0    0.1587       151       320    0.7208    0.9433    0.9452    0.6389   0.02706    0.1028         0
    66/799     1.89G   0.03111    0.1212         0    0.1523       169       320     0.716     0.951    0.9495    0.6494   0.02635   0.09654         0
    67/799     1.89G   0.03087    0.1216         0    0.1524       159       320    0.7456    0.9452    0.9489    0.6365   0.02767    0.1054         0
    68/799     1.89G    0.0314    0.1252         0    0.1566       123       320    0.6885    0.9605    0.9546    0.6333   0.02836    0.1008         0
    69/799     1.89G   0.03179    0.1226         0    0.1544       123       320    0.6758    0.9497     0.946    0.6149   0.02924    0.1036         0
    70/799     1.89G   0.03041    0.1186         0    0.1491       186       320    0.6468    0.9478    0.9389    0.6375   0.02689   0.09934         0
    71/799     1.89G   0.03007    0.1189         0    0.1489       169       320     0.742    0.9452    0.9481    0.6479   0.02798    0.0978         0
    72/799     1.89G    0.0288    0.1174         0    0.1462       164       320    0.7026    0.9497    0.9493    0.6384   0.02745    0.1003         0
    73/799     1.89G   0.03074    0.1186         0    0.1494       143       320    0.7362    0.9586    0.9552    0.6516   0.02582   0.09688         0
    74/799     1.89G   0.03048    0.1158         0    0.1463       129       320    0.6936    0.9433     0.944    0.6508   0.02717   0.09719         0
    75/799     1.89G   0.02919    0.1176         0    0.1468       137       320    0.7475     0.951    0.9564    0.6667   0.02516   0.09431         0
    76/799     1.89G   0.02821    0.1141         0    0.1423       116       320    0.7521    0.9529    0.9579    0.6734   0.02635   0.09343         0
    77/799     1.89G   0.02946    0.1202         0    0.1496       112       320    0.7483    0.9643    0.9626    0.6764   0.02512   0.09258         0
    78/799     1.89G   0.02799    0.1165         0    0.1444       290       320    0.7697     0.951    0.9587    0.6622   0.02721   0.09524         0
    79/799     1.89G   0.02864    0.1055         0    0.1341       172       320     0.783    0.9433    0.9554      0.68   0.02557   0.09586         0
    80/799     1.89G   0.03019    0.1277         0    0.1579       217       320    0.6311    0.9401     0.938    0.6242    0.0281    0.1096         0
    81/799     1.89G   0.02851    0.1162         0    0.1447       162       320    0.7088     0.958     0.957    0.6724   0.02577   0.09361         0
    82/799     1.89G   0.02774    0.1131         0    0.1409       183       320    0.6844    0.9471    0.9464    0.6579   0.02632   0.09823         0
    83/799     1.89G   0.02815    0.1112         0    0.1393       168       320     0.685    0.9656      0.96     0.681    0.0247   0.09516         0
    84/799     1.89G    0.0276    0.1146         0    0.1422       126       320    0.6996    0.9669     0.958    0.6706   0.02522   0.09562         0
    85/799     1.89G   0.02714    0.1118         0     0.139       134       320    0.7253    0.9554    0.9563    0.6654    0.0257   0.09478         0
    86/799     1.89G   0.02798    0.1113         0    0.1393       191       320     0.764    0.9599    0.9619    0.6932   0.02578   0.09259         0
    87/799     1.89G   0.02834    0.1118         0    0.1401       147       320    0.7485    0.9516    0.9542    0.6727   0.02587   0.09706         0
    88/799     1.89G   0.02674    0.1118         0    0.1386       134       320    0.7564    0.9534     0.957    0.6819   0.02419   0.09267         0
    89/799     1.89G   0.02756     0.111         0    0.1386        83       320     0.689    0.9643    0.9607    0.6819   0.02398   0.09178         0
    90/799     1.89G   0.02603    0.1075         0    0.1336       143       320    0.7041    0.9618    0.9628     0.669   0.02443   0.09456         0
    91/799     1.89G    0.0274    0.1153         0    0.1427       148       320    0.7284    0.9637    0.9642    0.6987   0.02296   0.08999         0
    92/799     1.89G   0.02631    0.1119         0    0.1382       323       320    0.7765    0.9561    0.9617    0.7023   0.02348   0.08993         0
    93/799     1.89G    0.0269    0.1043         0    0.1312        90       320     0.781    0.9522    0.9583    0.6838   0.02388   0.09236         0
    94/799     1.89G   0.02715    0.1122         0    0.1393       136       320    0.7163    0.9656    0.9612     0.687   0.02465   0.09335         0
